hood_length,hood_width,hood_thickness,material_density,youngs_modulus,poisson_ratio,yield_strength,impact_velocity,impact_angle,hood_mass,stiffness,energy_absorption,hic_value
1162.18,1618.9,0.767,5110.67,88.18,0.374,419.08,7.82,67.16,15.19,51490.84,970.62,3000.0
1565.5,1521.66,1.088,4879.25,85.75,0.365,468.67,10.19,74.16,14.16,57874.85,456.28,3000.0
1412.4,1385.72,1.386,2248.72,194.53,0.336,250.19,11.09,72.8,11.46,88363.79,656.14,3000.0
1319.06,1688.28,1.259,4079.24,86.18,0.393,399.95,6.64,54.62,8.08,47200.35,941.2,3000.0
1009.21,1610.84,1.326,4305.13,89.87,0.28,378.7,10.63,54.48,13.95,89571.97,741.26,3000.0
1009.2,1297.57,1.193,4413.17,170.3,0.266,483.13,9.36,58.05,11.43,27050.75,599.94,3000.0
940.66,1746.56,1.223,5465.0,119.21,0.378,512.43,10.98,60.83,16.82,82143.87,954.55,3000.0
1506.32,1693.52,1.364,5194.89,173.16,0.316,154.86,8.64,62.25,8.29,87803.81,755.09,3000.0
1320.78,1769.88,0.825,5625.85,55.79,0.377,419.61,10.4,70.39,15.02,34545.41,683.92,3000.0
1395.65,1635.43,1.04,6536.32,125.45,0.384,170.73,6.79,51.7,19.3,54427.72,910.38,3000.0
914.41,1568.05,0.799,6815.32,50.55,0.259,369.54,8.04,51.04,10.09,33239.98,546.61,3000.0
1578.94,1450.95,1.489,6265.11,55.34,0.383,265.05,6.81,61.76,13.66,76528.33,1420.52,3000.0
1482.71,1759.64,1.45,7642.04,194.56,0.317,272.71,10.99,70.91,9.1,62827.82,1354.47,3000.0
1048.64,1719.64,0.635,2205.75,67.98,0.327,291.18,10.26,55.8,15.51,70825.87,1178.38,3000.0
1027.28,1227.13,1.235,3235.51,132.85,0.344,398.52,10.42,69.25,14.61,35718.96,516.84,3000.0
1028.38,1215.82,1.433,2143.86,112.83,0.389,283.62,10.81,57.79,12.89,36939.67,1253.46,3000.0
1112.97,1425.88,0.763,5855.35,102.31,0.253,443.08,6.89,76.58,14.26,23319.79,1288.75,3000.0
1267.33,1686.33,1.111,7308.58,193.47,0.322,311.81,8.27,76.87,18.76,45765.4,1244.54,3000.0
1202.36,1792.37,1.424,3512.2,48.6,0.353,177.34,6.83,58.92,10.36,64779.57,525.36,3000.0
1103.86,1290.25,0.631,7476.8,154.53,0.358,463.5,7.47,56.9,8.27,88634.79,1108.3,3000.0
1328.3,1556.48,1.228,2449.55,203.96,0.354,264.3,7.56,62.34,18.34,73354.2,1317.76,3000.0
997.65,1428.53,0.868,7519.73,137.43,0.27,323.11,8.66,57.22,14.93,54831.71,1035.09,3000.0
